trip_id,arrival_time,departure_time,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,date
20241213-19-19750,20:59:00,20:59:00,01648,Yonge St. @ Glendora Ave.,43.7586899,-79.4100418,12240125-19,19,Mississauga / North York,20241213
20241225-88-88280,09:16:00,09:16:00,00519,King St. E. @ Division St.,43.9116707,-78.6874466,12240125-88,88,Peterborough / Oshawa,20241225
20250103-94-94921,25:34:00,25:34:00,02208,Renforth Dr. @ Convair Dr.,43.6720657,-79.5930939,12240125-94,94,Pickering / Square One,20250103
20250101-94-94290,10:25:00,10:25:00,00147,Pickering GO Bus,43.830982,-79.084571,12240125-94,94,Pickering / Square One,20250101
20241128-32-32172,08:15:00,08:15:00,02709,Yonge St. @ Finch Ave.,43.7808519429722,-79.416002462366,08241224-32,32,Brampton Trinity Common / North York,20241128
20241222-52-52840,19:40:00,19:40:00,00128,Unionville GO Bus,43.851935,-79.313774,12240125-52,52,Oshawa / Hwy 407 Terminal,20241222
20241224-33-33691,19:27:00,19:27:00,00842,Guelph St. @ Sinclair Ave.,43.6499443,-79.8935242,12240125-33,33,Guelph / North York,20241224
20241206-17-17700,19:08:00,19:08:00,02153,Wilfrid Laurier University,43.4752655,-80.5272827,08241224-17,17,Waterloo / Hamilton,20241206
20241220-56-56441,15:45:00,15:45:00,02673,Hwy 407 Bus Terminal,43.7830465622674,-79.5232260682288,12240125-56,56,Oshawa / Oakville,20241220
20250101-88-88720,18:30:00,18:30:00,00159,Durham College Oshawa GO,43.870909,-78.88585,12240125-88,88,Peterborough / Oshawa,20250101
20241130-52-52891,21:48:00,21:48:00,02144,YMCA Blvd. @ Kennedy Rd.,43.8535728,-79.3085709,08241224-52,52,Oshawa / Hwy 407 Terminal,20241130
20241213-41-41230,11:02:00,11:02:00,02838,Sheppard Ave. E. @ Herons Hill Way,43.7754648931527,-79.3354883868647,12240125-41,41,Hamilton / Pickering,20241213
20241204-47-47041,07:52:00,07:52:00,01007,Main St. W. @ Caroline St. S.,43.2570419,-79.8766251,08241224-47,47,Hamilton / Hwy 407 Terminal,20241204
20241206-BR-6332,20:16:00,20:16:00,RU,Rutherford GO,43.838487,-79.498819,08241224-BR,BR,Barrie,20241206
20241211-GT-3320,14:59:00,14:59:00,UN,Union Station,43.645195,-79.3806,12240125-GT,KI,Kitchener,20241211
20241209-GT-3836,20:45:00,20:45:00,KI,Kitchener GO,43.455686,-80.49313,12240125-GT,KI,Kitchener,20241209
20241223-48-48260,07:25:00,07:25:00,00201,University of Guelph,43.5293732,-80.2252502,12240125-48,48,Guelph / Hwy 407 Terminal,20241223
